"iso3","year","num_genres","youth_dep_ratio","gdppc","gini","internet_pen","litrate_15","lit_rate","sec_comp","youth_pop","urban_pop","dem_index","region"
"BOL",2021,185,48.6525395432627,3345.19658838387,40.9,65.9773785,NA,99.5199966430664,NA,31.1219852986952,70.475,4.65,"Latin America & Caribbean"
"BOL",2022,176,47.9264741100029,3523.27373305196,NA,NA,NA,NA,NA,30.8275449091999,70.83,4.51,"Latin America & Caribbean"
"BRA",2021,159,29.3949297434461,7696.78553127562,52.9,80.68989314,NA,99.2799987792969,NA,20.5406675785072,87.317,6.86,"Latin America & Caribbean"
"BRA",2022,134,29.0203783832346,8917.67389796927,NA,80.52775094,94.6900024414062,99.4199981689453,NA,20.2713094652338,87.555,6.78,"Latin America & Caribbean"
"CAN",2021,307,23.9307716842622,52358.6216405155,NA,92.83401664,NA,NA,NA,15.7333681352269,81.653,8.87,"North America"
"CAN",2022,249,23.8223440198007,54966.4888361088,NA,NA,NA,NA,NA,15.5770948741347,81.752,8.88,"North America"
"CHE",2021,399,22.8375732185071,91991.6004583563,NA,95.56937168,NA,NA,96.1076202392578,15.0657088700201,73.996,8.9,"Europe & Central Asia"
"CHE",2022,305,22.9212565037952,92101.4697414382,NA,NA,NA,NA,NA,15.0464929125109,74.092,9.14,"Europe & Central Asia"
"CHL",2021,176,26.8028509664259,16247.4010150765,NA,90.19336882,NA,NA,101.479530334473,18.4569535059805,87.817,7.92,"Latin America & Caribbean"
"CHL",2022,164,26.6841110550932,15355.5064965406,NA,NA,97.1600036621094,99.120002746582,NA,18.3186998108983,87.912,8.22,"Latin America & Caribbean"
"COL",2021,174,30.9911544527494,6182.70709867969,51.5,73.02837449,NA,99.0500030517578,85.6851425170898,21.5959743198702,81.74,6.48,"Latin America & Caribbean"
"COL",2022,166,30.6395813655081,6630.28272608054,NA,72.79637704,NA,NA,NA,21.3429345677906,82.05,6.72,"Latin America & Caribbean"
"CRI",2021,198,29.8144065095947,12537.2567461753,48.7,82.74901607,98.0400009155273,99.5299987792969,70.7503128051758,20.5484543235421,81.425,8.07,"Latin America & Caribbean"
"CRI",2022,189,29.2666288935989,13198.8217168097,47.2,82.59801121,NA,NA,NA,20.1894812586943,82.042,8.29,"Latin America & Caribbean"
"CYP",2021,321,22.9828209357348,31552.03515625,NA,90.75951564,99.3600006103516,99.9000015258789,104.001312255859,15.9817085520838,66.856,7.43,"Europe & Central Asia"
"CYP",2022,231,23.0050556630697,31283.505859375,NA,89.60095366,NA,NA,NA,15.9291116138902,66.911,7.38,"Europe & Central Asia"
"CZE",2021,265,25.1838533505237,26822.5141862111,NA,82.67062427,NA,NA,94.095588684082,16.0029438430681,74.214,7.74,"Europe & Central Asia"
"CZE",2022,222,25.1600137189935,27638.3732756288,NA,84.54009378,NA,NA,NA,15.9524750652421,74.377,7.97,"Europe & Central Asia"
"DEU",2021,365,21.6917683760973,51203.5544731043,NA,91.43060973,NA,NA,62.873649597168,13.8732844243212,77.544,8.67,"Europe & Central Asia"
"DEU",2022,267,21.9369554142378,48432.4558732596,NA,91.62984383,NA,NA,NA,13.9581766994571,77.648,8.8,"Europe & Central Asia"
"DNK",2021,278,25.4304576703418,68007.7566732954,NA,98.8658506,NA,NA,100.375679016113,16.1651541305828,88.24,9.09,"Europe & Central Asia"
"DNK",2022,208,25.3094971184084,66983.1320017138,NA,97.86011812,NA,NA,NA,16.0597246484197,88.367,9.28,"Europe & Central Asia"
"DOM",2021,162,41.7881110128239,8476.7496882797,38.5,85.24298638,NA,98.8399963378906,69.4518280029297,27.3596205245544,83.213,6.45,"Latin America & Caribbean"
"DOM",2022,164,41.394531883205,10120.5511632969,NA,NA,95.5,98.9899978637695,77.9684066772461,27.1082066407506,83.848,6.39,"Latin America & Caribbean"
"ECU",2021,185,39.3865561204091,5965.13287054416,45.8,76.20289766,94.4835891723633,96.3300018310547,103.800712585449,26.0976437622379,64.361,5.71,"Latin America & Caribbean"
"ECU",2022,168,38.6487488584032,6391.28248430643,45.5,69.71811352,93.9481201171875,99.1310272216797,96.8460922241211,25.6930976056886,64.57,5.69,"Latin America & Caribbean"
"EGY",2021,153,53.1584123738501,3886.7224983901,NA,72.06,NA,NA,86.1105728149414,33.0509695360959,42.862,2.93,"Middle East & North Africa"
"EGY",2022,130,52.7418712617572,4295.40749561014,NA,72.19806524,74.5,92.2399978637695,NA,32.8609470702086,42.967,2.93,"Middle East & North Africa"
"ESP",2021,247,21.3772810144766,30103.513733191,NA,93.89752157,NA,NA,94.7043914794922,14.10691172214,81.056,7.94,"Europe & Central Asia"
"ESP",2022,196,20.9258150895623,29350.1685214481,NA,94.4855432,NA,NA,NA,13.7978723714063,81.304,8.07,"Europe & Central Asia"
"EST",2021,360,26.0759189490452,27943.701219882,NA,90.97970174,99.870002746582,99.9899978637695,98.8113327026367,16.4693561606411,69.415,7.84,"Europe & Central Asia"
"EST",2022,305,26.0354896914212,28332.6290917984,NA,91.02128973,NA,NA,NA,16.4061710538421,69.609,7.96,"Europe & Central Asia"
"FIN",2021,332,25.0140811442579,53489.7520190898,NA,92.80806082,NA,NA,99.5950088500977,15.4286440442833,85.596,9.27,"Europe & Central Asia"
"FIN",2022,248,24.6503472991708,50536.6244670541,NA,92.98879471,NA,NA,NA,15.1728770072547,85.681,9.29,"Europe & Central Asia"
"FRA",2021,258,28.3400011947182,43658.9789781222,NA,86.09548575,NA,NA,99.7745666503906,17.3733753734071,81.242,7.99,"Europe & Central Asia"
"FRA",2022,192,28.1293359796737,40963.837337041,NA,85.33331549,NA,NA,NA,17.1990019346205,81.509,8.07,"Europe & Central Asia"
"GBR",2021,331,27.8468303476629,46585.8975644567,NA,96.68023657,NA,NA,96.6136322021484,17.6612097379976,84.152,8.1,"Europe & Central Asia"
"GBR",2022,248,27.5659497174055,45850.4261222629,NA,NA,NA,NA,NA,17.4667211276054,84.398,8.28,"Europe & Central Asia"
"GRC",2021,233,22.1659580141928,20192.5963039061,NA,78.49426371,NA,NA,95.2389678955078,14.0602267129966,80.038,7.56,"Europe & Central Asia"
"GRC",2022,144,21.9075433632467,20732.0522190537,NA,83.17066333,NA,NA,NA,13.8693839395411,80.357,7.97,"Europe & Central Asia"
"GTM",2021,179,52.96732080461,5029.47733808268,NA,50.84164945,NA,NA,56.0023498535156,32.9297040259032,52.245,4.62,"Latin America & Caribbean"
"GTM",2022,163,51.6732113424874,5473.20874104102,NA,NA,84.2699966430664,96.1399993896484,50.5782814025879,32.3953334661891,52.666,4.68,"Latin America & Caribbean"
"HKG",2021,194,17.8439381323724,49764.793115622,NA,93.08715788,NA,NA,87.4343719482422,12.1736732759554,100,5.6,"East Asia & Pacific"
"HKG",2022,129,17.8414549650086,48983.623801213,NA,95.61357052,NA,NA,101.128799438477,12.0406163016692,100,5.28,"East Asia & Pacific"
"HND",2021,188,46.8711942124211,2771.72261645247,NA,48.08351858,NA,NA,NA,30.5734517291718,58.982,5.1,"Latin America & Caribbean"
"HND",2022,177,45.9056606860797,3040.17307960182,NA,NA,NA,NA,NA,30.1188662609709,59.6,5.15,"Latin America & Caribbean"
"HUN",2021,310,22.3807601404938,18772.1411117581,NA,88.64083466,99.0999984741211,98.6999969482422,98.2807388305664,14.553461837367,72.245,6.5,"Europe & Central Asia"
"HUN",2022,213,22.0320021375931,18463.2085249699,NA,90.46084106,NA,NA,NA,14.4414928505015,72.552,6.64,"Europe & Central Asia"
"IDN",2021,187,37.6070641738808,4334.21598260314,37.9,62.10447842,NA,NA,100.579216003418,25.4764856786637,57.29,6.71,"East Asia & Pacific"
"IDN",2022,142,37.1030924227242,4787.99930765134,37.9,66.48461277,NA,NA,102.410957336426,25.2064862015063,57.934,6.71,"East Asia & Pacific"
